MSSubClass;MSZoning;LotFrontage;LotArea;Street;Alley;LotShape;LandContour;Utilities;LotConfig;...;PoolArea;PoolQC;Fence;MiscFeature;MiscVal;MoSold;YrSold;SaleType;SaleCondition;SalePrice;
Id;;;;;;;;;;;;;;;;;;;;;
1;60;RL;65.000000;8450;Pave;Non communiqué;Reg;Lvl;AllPub;Inside;...;0;Non communiqué;Non communiqué;Non communiqué;0;2;2008;WD;Normal;208500
2;20;RL;80.000000;9600;Pave;Non communiqué;Reg;Lvl;AllPub;FR2;...;0;Non communiqué;Non communiqué;Non communiqué;0;5;2007;WD;Normal;181500
3;60;RL;68.000000;11250;Pave;Non communiqué;IR1;Lvl;AllPub;Inside;...;0;Non communiqué;Non communiqué;Non communiqué;0;9;2008;WD;Normal;223500
4;70;RL;60.000000;9550;Pave;Non communiqué;IR1;Lvl;AllPub;Corner;...;0;Non communiqué;Non communiqué;Non communiqué;0;2;2006;WD;Abnorml;140000
5;60;RL;84.000000;14260;Pave;Non communiqué;IR1;Lvl;AllPub;FR2;...;0;Non communiqué;Non communiqué;Non communiqué;0;12;2008;WD;Normal;250000
6;50;RL;85.000000;14115;Pave;Non communiqué;IR1;Lvl;AllPub;Inside;...;0;Non communiqué;MnPrv;Shed;700;10;2009;WD;Normal;143000
7;20;RL;75.000000;10084;Pave;Non communiqué;Reg;Lvl;AllPub;Inside;...;0;Non communiqué;Non communiqué;Non communiqué;0;8;2007;WD;Normal;307000
8;60;RL;70.049958;10382;Pave;Non communiqué;IR1;Lvl;AllPub;Corner;...;0;Non communiqué;Non communiqué;Shed;350;11;2009;WD;Normal;200000
9;50;RM;51.000000;6120;Pave;Non communiqué;Reg;Lvl;AllPub;Inside;...;0;Non communiqué;Non communiqué;Non communiqué;0;4;2008;WD;Abnorml;129900
10;190;RL;50.000000;7420;Pave;Non communiqué;Reg;Lvl;AllPub;Corner;...;0;Non communiqué;Non communiqué;Non communiqué;0;1;2008;WD;Normal;118000
11;20;RL;70.000000;11200;Pave;Non communiqué;Reg;Lvl;AllPub;Inside;...;0;Non communiqué;Non communiqué;Non communiqué;0;2;2008;WD;Normal;129500
12;60;RL;85.000000;11924;Pave;Non communiqué;IR1;Lvl;AllPub;Inside;...;0;Non communiqué;Non communiqué;Non communiqué;0;7;2006;New;Partial;345000
13;20;RL;70.049958;12968;Pave;Non communiqué;IR2;Lvl;AllPub;Inside;...;0;Non communiqué;Non communiqué;Non communiqué;0;9;2008;WD;Normal;144000
14;20;RL;91.000000;10652;Pave;Non communiqué;IR1;Lvl;AllPub;Inside;...;0;Non communiqué;Non communiqué;Non communiqué;0;8;2007;New;Partial;279500
15;20;RL;70.049958;10920;Pave;Non communiqué;IR1;Lvl;AllPub;Corner;...;0;Non communiqué;GdWo;Non communiqué;0;5;2008;WD;Normal;157000
16;45;RM;51.000000;6120;Pave;Non communiqué;Reg;Lvl;AllPub;Corner;...;0;Non communiqué;GdPrv;Non communiqué;0;7;2007;WD;Normal;132000
17;20;RL;70.049958;11241;Pave;Non communiqué;IR1;Lvl;AllPub;CulDSac;...;0;Non communiqué;Non communiqué;Shed;700;3;2010;WD;Normal;149000
18;90;RL;72.000000;10791;Pave;Non communiqué;Reg;Lvl;AllPub;Inside;...;0;Non communiqué;Non communiqué;Shed;500;10;2006;WD;Normal;90000
19;20;RL;66.000000;13695;Pave;Non communiqué;Reg;Lvl;AllPub;Inside;...;0;Non communiqué;Non communiqué;Non communiqué;0;6;2008;WD;Normal;159000
20;20;RL;70.000000;7560;Pave;Non communiqué;Reg;Lvl;AllPub;Inside;...;0;Non communiqué;MnPrv;Non communiqué;0;5;2009;COD;Abnorml;139000
21;60;RL;101.000000;14215;Pave;Non communiqué;IR1;Lvl;AllPub;Corner;...;0;Non communiqué;Non communiqué;Non communiqué;0;11;2006;New;Partial;325300
22;45;RM;57.000000;7449;Pave;Grvl;Reg;Bnk;AllPub;Inside;...;0;Non communiqué;GdPrv;Non communiqué;0;6;2007;WD;Normal;139400
23;20;RL;75.000000;9742;Pave;Non communiqué;Reg;Lvl;AllPub;Inside;...;0;Non communiqué;Non communiqué;Non communiqué;0;9;2008;WD;Normal;230000
24;120;RM;44.000000;4224;Pave;Non communiqué;Reg;Lvl;AllPub;Inside;...;0;Non communiqué;Non communiqué;Non communiqué;0;6;2007;WD;Normal;129900
25;20;RL;70.049958;8246;Pave;Non communiqué;IR1;Lvl;AllPub;Inside;...;0;Non communiqué;MnPrv;Non communiqué;0;5;2010;WD;Normal;154000
26;20;RL;110.000000;14230;Pave;Non communiqué;Reg;Lvl;AllPub;Corner;...;0;Non communiqué;Non communiqué;Non communiqué;0;7;2009;WD;Normal;256300
27;20;RL;60.000000;7200;Pave;Non communiqué;Reg;Lvl;AllPub;Corner;...;0;Non communiqué;Non communiqué;Non communiqué;0;5;2010;WD;Normal;134800
28;20;RL;98.000000;11478;Pave;Non communiqué;Reg;Lvl;AllPub;Inside;...;0;Non communiqué;Non communiqué;Non communiqué;0;5;2010;WD;Normal;306000
29;20;RL;47.000000;16321;Pave;Non communiqué;IR1;Lvl;AllPub;CulDSac;...;0;Non communiqué;Non communiqué;Non communiqué;0;12;2006;WD;Normal;207500
30;30;RM;60.000000;6324;Pave;Non communiqué;IR1;Lvl;AllPub;Inside;...;0;Non communiqué;Non communiqué;Non communiqué;0;5;2008;WD;Normal;68500
...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
1431;60;RL;60.000000;21930;Pave;Non communiqué;IR3;Lvl;AllPub;Inside;...;0;Non communiqué;Non communiqué;Non communiqué;0;7;2006;WD;Normal;192140
1432;120;RL;70.049958;4928;Pave;Non communiqué;IR1;Lvl;AllPub;Inside;...;0;Non communiqué;Non communiqué;Non communiqué;0;10;2009;WD;Normal;143750
1433;30;RL;60.000000;10800;Pave;Grvl;Reg;Lvl;AllPub;Inside;...;0;Non communiqué;Non communiqué;Non communiqué;0;8;2007;WD;Normal;64500
1434;60;RL;93.000000;10261;Pave;Non communiqué;IR1;Lvl;AllPub;Inside;...;0;Non communiqué;Non communiqué;Non communiqué;0;5;2008;WD;Normal;186500
1435;20;RL;80.000000;17400;Pave;Non communiqué;Reg;Low;AllPub;Inside;...;0;Non communiqué;Non communiqué;Non communiqué;0;5;2006;WD;Normal;160000
1436;20;RL;80.000000;8400;Pave;Non communiqué;Reg;Lvl;AllPub;Inside;...;0;Non communiqué;GdPrv;Non communiqué;0;7;2008;COD;Abnorml;174000
1437;20;RL;60.000000;9000;Pave;Non communiqué;Reg;Lvl;AllPub;FR2;...;0;Non communiqué;GdWo;Non communiqué;0;5;2007;WD;Normal;120500
1438;20;RL;96.000000;12444;Pave;Non communiqué;Reg;Lvl;AllPub;FR2;...;0;Non communiqué;Non communiqué;Non communiqué;0;11;2008;New;Partial;394617
1439;20;RM;90.000000;7407;Pave;Non communiqué;Reg;Lvl;AllPub;Inside;...;0;Non communiqué;MnPrv;Non communiqué;0;4;2010;WD;Normal;149700
1440;60;RL;80.000000;11584;Pave;Non communiqué;Reg;Lvl;AllPub;Inside;...;0;Non communiqué;Non communiqué;Non communiqué;0;11;2007;WD;Normal;197000
1441;70;RL;79.000000;11526;Pave;Non communiqué;IR1;Bnk;AllPub;Inside;...;0;Non communiqué;Non communiqué;Non communiqué;0;9;2008;WD;Normal;191000
1442;120;RM;70.049958;4426;Pave;Non communiqué;Reg;Lvl;AllPub;Inside;...;0;Non communiqué;Non communiqué;Non communiqué;0;5;2008;WD;Normal;149300
1443;60;FV;85.000000;11003;Pave;Non communiqué;Reg;Lvl;AllPub;Inside;...;0;Non communiqué;Non communiqué;Non communiqué;0;4;2009;WD;Normal;310000
1444;30;RL;70.049958;8854;Pave;Non communiqué;Reg;Lvl;AllPub;Inside;...;0;Non communiqué;Non communiqué;Non communiqué;0;5;2009;WD;Normal;121000
1445;20;RL;63.000000;8500;Pave;Non communiqué;Reg;Lvl;AllPub;FR2;...;0;Non communiqué;Non communiqué;Non communiqué;0;11;2007;WD;Normal;179600
1446;85;RL;70.000000;8400;Pave;Non communiqué;Reg;Lvl;AllPub;Inside;...;0;Non communiqué;Non communiqué;Non communiqué;0;5;2007;WD;Normal;129000
1447;20;RL;70.049958;26142;Pave;Non communiqué;IR1;Lvl;AllPub;CulDSac;...;0;Non communiqué;Non communiqué;Non communiqué;0;4;2010;WD;Normal;157900
1448;60;RL;80.000000;10000;Pave;Non communiqué;Reg;Lvl;AllPub;Inside;...;0;Non communiqué;Non communiqué;Non communiqué;0;12;2007;WD;Normal;240000
1449;50;RL;70.000000;11767;Pave;Non communiqué;Reg;Lvl;AllPub;Inside;...;0;Non communiqué;GdWo;Non communiqué;0;5;2007;WD;Normal;112000
1450;180;RM;21.000000;1533;Pave;Non communiqué;Reg;Lvl;AllPub;Inside;...;0;Non communiqué;Non communiqué;Non communiqué;0;8;2006;WD;Abnorml;92000
1451;90;RL;60.000000;9000;Pave;Non communiqué;Reg;Lvl;AllPub;FR2;...;0;Non communiqué;Non communiqué;Non communiqué;0;9;2009;WD;Normal;136000
1452;20;RL;78.000000;9262;Pave;Non communiqué;Reg;Lvl;AllPub;Inside;...;0;Non communiqué;Non communiqué;Non communiqué;0;5;2009;New;Partial;287090
1453;180;RM;35.000000;3675;Pave;Non communiqué;Reg;Lvl;AllPub;Inside;...;0;Non communiqué;Non communiqué;Non communiqué;0;5;2006;WD;Normal;145000
1454;20;RL;90.000000;17217;Pave;Non communiqué;Reg;Lvl;AllPub;Inside;...;0;Non communiqué;Non communiqué;Non communiqué;0;7;2006;WD;Abnorml;84500
1455;20;FV;62.000000;7500;Pave;Pave;Reg;Lvl;AllPub;Inside;...;0;Non communiqué;Non communiqué;Non communiqué;0;10;2009;WD;Normal;185000
